postalCode,address,city,state,startHr,endHr,storeNumber
72756,2110 W Walnut St,Rogers,AR,00:00,24:00,1
72601,161 N Walmart Dr,Harrison,AR,00:00,24:00,2
30529,30983 Highway 441 S,Commerce,GA,00:00,24:00,3
72761,2901 Highway 412 E,Siloam Springs,AR,00:00,24:00,4
72032,1155 Hwy 65 North,Conway,AR,00:00,24:00,5
72120,9053 Highway 107,Sherwood,AR,00:00,24:00,7
72110,1621 North Business 9,Morrilton,AR,00:00,24:00,8
63801,1303 S Main St,Sikeston,MO,00:00,24:00,9
74464,2020 S Muskogee Ave,Tahlequah,OK,00:00,24:00,10
72653,65 Wal Mart Dr,Mountain Home,AR,00:00,24:00,11
74017,1500 S Lynn Riggs Blvd,Claremore,OK,00:00,24:00,12
64836,2705 Grand Ave,Carthage,MO,00:00,24:00,13
65536,1800 S Jefferson Ave,Lebanon,MO,00:00,24:00,14
65775,1310 Preacher Roe Blvd,West Plains,MO,00:00,24:00,15
72956,2214 Fayetteville Rd,Van Buren,AR,00:00,24:00,16
64850,3200 Lusk Dr,Neosho,MO,00:00,24:00,17
72112,1211 Highway 367 N,Newport,AR,06:00,23:00,18
63901,333 S Westwood Blvd,Poplar Bluff,MO,06:00,24:00,19
64735,1712 E Ohio St,Clinton,MO,00:00,24:00,20
65584,185 Saint Robert Blvd,Saint Robert,MO,00:00,24:00,21
74361,4901 S Mill St,Pryor,OK,00:00,24:00,22
71270,1201 N Service Rd E,Ruston,LA,00:00,24:00,23
72076,2000 John Harden Dr,Jacksonville,AR,00:00,24:00,24
65265,4820 S Clark St,Mexico,MO,00:00,24:00,25
66048,5000 10th Ave,Leavenworth,KS,00:00,24:00,26
65560,1101 W Highway 32,Salem,MO,06:00,01:00,27
74354,2415 N Main St,Miami,OK,00:00,24:00,28
65109,724 Stadium West Blv,Jefferson City,MO,00:00,24:00,29
63841,2025 W Business Us Highway 60,Dexter,MO,00:00,24:00,30
74953,3108 N Broadway St,Poteau,OK,00:00,24:00,31
65616,2050 W 76 Country Blvd,Branson,MO,06:00,01:00,32
64772,2250 Lincoln Ave,Nevada,MO,00:00,24:00,34
66502,101 Bluemont Ave,Manhattan,KS,00:00,24:00,35
72450,2802 W Kingshighway,Paragould,AR,00:00,24:00,36
63640,707 Walton Dr,Farmington,MO,00:00,24:00,37
74745,1907 Se Washington St,Idabel,OK,06:00,24:00,38
66701,2500 S Main St,Fort Scott,KS,06:00,01:00,39
65270,1301 E Highway 24,Moberly,MO,00:00,24:00,40
74006,4000 Se Green Country Rd,Bartlesville,OK,00:00,24:00,41
67337,1863 Cr 5300,Coffeyville,KS,06:00,01:00,42
66441,521 E Chestnut St,Junction City,KS,00:00,24:00,43
65026,1802 S Business 54,Eldon,MO,07:00,23:00,44
72401,1815 E Highland Dr,Jonesboro,AR,00:00,24:00,45
65613,2451 S Springfield Ave,Bolivar,MO,00:00,24:00,46
74955,1101 W Ruth Ave,Sallisaw,OK,00:00,24:00,47
65708,885 E Us Highway 60,Monett,MO,00:00,24:00,48
74743,1911 E Jackson St,Hugo,OK,06:00,24:00,49
74301,268 S 7th St,Vinita,OK,06:00,01:00,50
65251,1701 N Bluff St,Fulton,MO,06:00,01:00,51
71913,1601 Albert Pike Rd,Hot Springs,AR,00:00,24:00,52
72764,2004 S Pleasant St,Springdale,AR,00:00,24:00,54
72927,1400 East Main St,Booneville,AR,06:00,01:00,55
65608,1309 Nw 12th Ave,Ava,MO,06:00,01:00,56
72476,1600 W Main St,Walnut Ridge,AR,06:00,24:00,57
72802,2409 E Main St,Russellville,AR,00:00,24:00,58
64804,1501 S Range Line Rd,Joplin,MO,00:00,24:00,59
63379,101 Highway 47 E,Troy,MO,00:00,24:00,60
64093,301 E Cooper St,Warrensburg,MO,00:00,24:00,61
72315,3700 E Highway 18,Blytheville,AR,00:00,24:00,62
74467,410 S Dewey Ave,Wagoner,OK,06:00,01:00,63
38012,1100 S Dupree Ave,Brownsville,TN,06:00,01:00,64
63080,350 Park Ridge Rd,Sullivan,MO,00:00,24:00,65
72830,230 Market St.,Clarksville,AR,00:00,24:00,66
71953,600 Highway 71 N,Mena,AR,00:00,24:00,67
72396,800 Highway 64 E,Wynne,AR,00:00,24:00,68
63028,650 S Truman Blvd,Festus,MO,00:00,24:00,69
72301,798 W Service Rd,West Memphis,AR,00:00,24:00,70
72455,1415 Highway 67 S,Pocahontas,AR,00:00,24:00,71
66762,2710 N Broadway St,Pittsburg,KS,00:00,24:00,72
74066,1002 W Taft St,Sapulpa,OK,00:00,24:00,73
72370,2720 W Keiser Ave,Osceola,AR,06:00,24:00,74
71360,3636 Monroe Hwy,Pineville,LA,00:00,24:00,75
72616,1000 W Trimble Ave,Berryville,AR,00:00,24:00,76
76574,3701 N Main St,Taylor,TX,00:00,24:00,77
65706,14740 State Hwy #38,Marshfield,MO,00:00,24:00,78
64801,2623 W 7th St,Joplin,MO,00:00,24:00,79
65203,3001 W Broadway,Columbia,MO,00:00,24:00,80
74960,Rr 6 Box 1895,Stilwell,OK,00:00,24:00,81
63775,1750 S Perryville Blvd,Perryville,MO,00:00,24:00,82
71753,60 Highway 79 N,Magnolia,AR,00:00,24:00,83
72015,17309 Interstate 30 S,Benton,AR,00:00,24:00,85
65803,2825 N Kansas Expy,Springfield,MO,00:00,24:00,86
71055,1379 Homer Rd,Minden,LA,00:00,24:00,87
65711,2100 N Main Ave,Mountain Grove,MO,00:00,24:00,88
65020,94 Cecil St,Camdenton,MO,00:00,24:00,89
74344,2115 S Main St,Grove,OK,00:00,24:00,90
72335,205 Deadrick Rd,Forrest City,AR,06:00,01:00,91
65605,3020 S Elliott Ave,Aurora,MO,06:00,24:00,92
38019,201 Lanny Bridges Ave,Covington,TN,00:00,24:00,93
38053,8445 Us Highway 51 N,Millington,TN,00:00,24:00,94
63601,407 No. State St,Desloge,MO,00:00,24:00,95
64701,1700 N State Route 291,Harrisonville,MO,00:00,24:00,96
38063,628 Highway 51 N,Ripley,TN,00:00,24:00,97
71220,6091 Mer Rouge Rd,Bastrop,LA,00:00,24:00,98
63084,1445 E Central Ct,Union,MO,06:00,01:00,99
72712,406 S Walton Blvd,Bentonville,AR,00:00,24:00,100
65401,500 S Bishop Ave,Rolla,MO,00:00,24:00,101
72160,406 E 22nd St,Stuttgart,AR,06:00,01:00,102
74804,196 Shawnee Mall Dr,Shawnee,OK,00:00,24:00,103
38358,15427 S First St,Milan,TN,00:00,24:00,104
38834,2301 S Harper Rd,Corinth,MS,00:00,24:00,105
42041,1405 Middle Rd,Fulton,KY,06:00,01:00,106
38237,134 Courtright Rd,Martin,TN,00:00,24:00,107
73044,1608 S Division St,Guthrie,OK,00:00,24:00,108
64429,2000 N Walnut St,Cameron,MO,00:00,24:00,109
34787,16313 New Independence Parkway,Winter Garden,FL,00:00,24:00,110
66720,2700 S Santa Fe Ave,Chanute,KS,00:00,24:00,111
39759,1010 Highway 12 W,Starkville,MS,00:00,24:00,112
73018,2001 S 1st St,Chickasha,OK,00:00,24:00,113
38829,300 Walmart Cir,Booneville,MS,05:00,24:00,114
39773,5509 Highway 45 Alt S,West Point,MS,06:00,23:00,115
71082,929 S Pine St,Vivian,LA,07:00,21:00,116
74728,501 S Park Dr,Broken Bow,OK,06:00,24:00,117
38821,1515 Highway 278 E,Amory,MS,06:00,01:00,118
72501,3150 Harrison St,Batesville,AR,00:00,24:00,119
38343,2716 N Central Ave,Humboldt,TN,00:00,24:00,120
74447,1800 S Wood Dr,Okmulgee,OK,00:00,24:00,121
63755,3051 E Jackson Blvd,Jackson,MO,00:00,24:00,122
74868,1500 E Wrangler Blvd,Seminole,OK,00:00,24:00,123
72209,8801 Baseline Rd,Little Rock,AR,06:00,24:00,124
72901,2425 S Zero St,Fort Smith,AR,00:00,24:00,125
72205,2700 S Shackleford Rd,Little Rock,AR,06:00,24:00,126
72104,1910 Martin Luther King Blvd,Malvern,AR,06:00,01:00,127
72404,1911 W Parker Rd,Jonesboro,AR,00:00,24:00,128
73401,1715 N Commerce St,Ardmore,OK,00:00,24:00,129
74401,1000 W Shawnee St,Muskogee,OK,00:00,24:00,130
75455,2311 S Jefferson Ave,Mount Pleasant,TX,00:00,24:00,131
73750,200 Starlite Dr,Kingfisher,OK,00:00,24:00,132
71822,297 Hwy 32 By-pass E,Ashdown,AR,06:00,01:00,133
73644,210 Regional Dr,Elk City,OK,00:00,24:00,134
64601,1000 Graves St,Chillicothe,MO,00:00,24:00,135
74631,1219 W Doolin Ave,Blackwell,OK,07:00,22:00,136
74075,111 N Perkins Rd,Stillwater,OK,00:00,24:00,137
65803,1923 E Kearney St,Springfield,MO,06:00,24:00,138
73080,2015 S Green Ave,Purcell,OK,06:00,01:00,139
75904,2500 Daniel Mccall Dr,Lufkin,TX,00:00,24:00,140
72903,8301 Rogers Ave,Fort Smith,AR,00:00,24:00,141
42025,310 W 5th St,Benton,KY,00:00,24:00,143
72704,2875 W Mrtn Luther K,Fayetteville,AR,00:00,24:00,144
63334,3 Town Center Dr,Bowling Green,MO,06:00,01:00,145
75644,1102 Us Highway 271 North,Gilmer,TX,00:00,24:00,146
75020,401 N Us Highway 75,Denison,TX,00:00,24:00,147
75462,3855 Lamar Ave,Paris,TX,00:00,24:00,148
71251,184 Old Winnfield Rd,Jonesboro,LA,06:00,24:00,149
73801,3215 Williams Ave,Woodward,OK,00:00,24:00,150
74501,432 S George Nigh Expy,Mcalester,OK,00:00,24:00,151
63020,12862 State Route 21,De Soto,MO,00:00,24:00,152
38652,202 Park Plaza Dr,New Albany,MS,00:00,24:00,153
24211,16032 Fifteen Mile Boulevard,Abingdon,VA,00:00,24:00,154
38668,5219 Highway 51 N,Senatobia,MS,00:00,24:00,155
72143,3509 E Race Ave,Searcy,AR,00:00,24:00,157
75418,2021 N State Highway 121,Bonham,TX,06:00,01:00,158
65201,415 Conley Rd,Columbia,MO,06:00,24:00,159
72513,219 Highway 412,Ash Flat,AR,00:00,24:00,160
38344,180 Veterans Dr N,Huntingdon,TN,06:00,01:00,161
73005,1201 W Petree Rd,Anadarko,OK,07:00,23:00,162
75965,4810 North St,Nacogdoches,TX,00:00,24:00,163
38863,100 Mccord Rd,Pontotoc,MS,00:00,24:00,164
75654,2121 Us Highway 79 S,Henderson,TX,00:00,24:00,165
65483,1433 S Sam Houston Blvd,Houston,MO,06:00,23:00,166
71635,910 Unity Rd,Crossett,AR,06:00,01:00,167
74055,12101 E 96th St N,Owasso,OK,00:00,24:00,168
72086,322 Brownsville Loop,Lonoke,AR,06:00,24:00,169
71457,925 Keyser Ave,Natchitoches,LA,00:00,24:00,170
71701,950 California Ave Sw,Camden,AR,00:00,24:00,171
63090,1701 A Roy Dr,Washington,MO,00:00,24:00,172
63664,#1 Memorial Drive,Potosi,MO,06:00,24:00,173
32922,2700 Clearlake Rd,Cocoa,FL,00:00,24:00,174
38017,560 W Poplar Ave,Collierville,TN,00:00,24:00,175
38663,822 City Ave S,Ripley,MS,06:00,22:00,176
38242,1210 Mineral Wells Ave,Paris,TN,00:00,24:00,177
73717,914 E Oklahoma Blvd,Alva,OK,00:00,24:00,178
65807,3520 W Sunshine St,Springfield,MO,00:00,24:00,179
75766,1311 S Jackson St,Jacksonville,TX,00:00,24:00,180
75570,800 James Bowie Dr,New Boston,TX,00:00,24:00,181
38701,1831 Highway 1 S,Greenville,MS,00:00,24:00,182
39339,159 Highway 15 S,Louisville,MS,06:00,23:00,183
64014,600 Ne Coronado Dr,Blue Springs,MO,00:00,24:00,184
76240,1800 Lawrence St,Gainesville,TX,00:00,24:00,185
67042,301 S Village Rd,El Dorado,KS,06:00,01:00,186
63701,3439 William St,Cape Girardeau,MO,00:00,24:00,188
63501,2206 N Baltimore St,Kirksville,MO,00:00,24:00,189
63857,1500 1st St,Kennett,MO,00:00,24:00,190
38401,2200 Brookmeade Dr,Columbia,TN,00:00,24:00,192
77521,4900 Garth Rd,Baytown,TX,00:00,24:00,194
64024,2203 Patsy Ln,Excelsior Springs,MO,06:00,01:00,195
62901,1450 E Main St,Carbondale,IL,00:00,24:00,196
61455,1730 E Jackson St,Macomb,IL,00:00,24:00,197
62881,1870 W Main St,Salem,IL,00:00,24:00,198
62656,825 Malerich Dr,Lincoln,IL,00:00,24:00,199
62650,1941 W Morton Ave,Jacksonville,IL,00:00,24:00,200
62221,2608 Green Mount Commons Dr,Belleville,IL,00:00,24:00,201
75035,16066 State Highway 121,Frisco,TX,06:00,24:00,202
64628,937 Park Circle Dr,Brookfield,MO,06:00,01:00,203
42445,1500 Us Highway 62 W,Princeton,KY,00:00,24:00,204
39350,1002 W Beacon St,Philadelphia,MS,00:00,24:00,205
75069,2041 N Redbud Blvd,Mckinney,TX,00:00,24:00,206
74020,772 N Airport Rd,Cleveland,OK,06:00,01:00,207
72949,1516 N 18th St,Ozark,AR,06:00,22:00,209
74848,500 East Highway 270,Holdenville,OK,06:00,23:00,210
73069,333 N Interstate Dr,Norman,OK,00:00,24:00,212
62056,1205 W Ferdon St,Litchfield,IL,00:00,24:00,213
75951,800 W Gibson St,Jasper,TX,00:00,24:00,214
62959,2802 Outer Road Drive,Marion,IL,00:00,24:00,216
75067,801 W Main St,Lewisville,TX,00:00,24:00,217
38375,1017 Mulberry Ave,Selmer,TN,00:00,24:00,218
65301,3201 W Broadway Blvd,Sedalia,MO,00:00,24:00,219
76028,951 Sw Wilshire Blvd,Burleson,TX,00:00,24:00,220
73099,1200 Garth Brooks Blvd,Yukon,OK,00:00,24:00,221
62286,1410 N Market St,Sparta,IL,00:00,24:00,222
62864,110 Davidson Rd,Mount Vernon,IL,00:00,24:00,224
73086,2705 W Broadway Ave,Sulphur,OK,06:00,01:00,225
75551,201 Loop 59,Atlanta,TX,00:00,24:00,226
73036,2400 S Country Club Rd,El Reno,OK,00:00,24:00,227
76033,1616 W Henderson St,Cleburne,TX,00:00,24:00,228
72472,512 Industrial Park Dr,Trumann,AR,06:00,01:00,229
72855,1501 E Walnut St,Paris,AR,06:00,22:00,230
74820,1419 N Country Club Rd,Ada,OK,00:00,24:00,231
74525,1983 S Mississippi Ave,Atoka,OK,06:00,01:00,232
62906,300 Leigh Ave,Anna,IL,06:00,01:00,233
64158,8301 N Church Rd,Kansas City,MO,00:00,24:00,234
75835,1225 E Loop 304,Crockett,TX,06:00,23:00,236
62946,710 S Commercial St,Harrisburg,IL,00:00,24:00,237
38478,1655 W College St,Pulaski,TN,00:00,24:00,238
39090,220 Veterans Memorial Dr,Kosciusko,MS,06:00,23:00,239
75428,2701 State Highway 50,Commerce,TX,06:00,24:00,240
72758,4206 S Pleasant Crossing Blvd,Rogers,AR,05:00,24:00,241
66071,310 Hedge Ln,Paola,KS,06:00,01:00,242
63385,1971 Wentzville Pkwy,Wentzville,MO,00:00,24:00,243
